2018-04-22 21:40:47.610 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.610 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.610 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.611 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.611 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.611 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.611 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.611 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.611 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.611 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.611 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.611 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.612 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:40:47.613 INFO  [main] - r: 0 g: 2 i: 1 
2018-04-22 21:40:47.613 INFO  [main] - r: 0 g: 2 i: 2 
2018-04-22 21:40:47.613 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.613 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.613 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.613 INFO  [main] - r: 1 g: 0 i: 0 
2018-04-22 21:40:47.613 INFO  [main] - r: 1 g: 0 i: 1 
2018-04-22 21:40:47.613 INFO  [main] - r: 1 g: 0 i: 2 
2018-04-22 21:40:47.613 INFO  [main] - r: 1 g: 0 i: 0 
2018-04-22 21:40:47.614 INFO  [main] - r: 1 g: 0 i: 1 
2018-04-22 21:40:47.614 INFO  [main] - r: 1 g: 0 i: 2 
2018-04-22 21:40:47.614 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.614 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.614 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.614 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.614 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.615 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.616 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.616 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.616 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.616 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.616 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.616 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.616 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.616 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.616 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 2 i: 1 
